"long","lat","feature","id","PROVINCE","PROV_CODE","REALM","RLM_CODE","Lat_Zone"
90.5680134202447,5.70432424381535,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
90.7250489840567,5.46165750483117,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
90.7726246310729,5.38279442062701,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
90.8290723156179,5.26168624420102,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
90.8796842485314,5.19105467697152,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
90.9183670674099,5.11469054993357,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
90.999665795382,5.00156913477494,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
91.1845178114428,4.76621518463195,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
91.4566702519912,4.36152536051806,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
91.8143504849519,4.11881023737425,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
91.9495695889267,4.0082762338757,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.0847611002494,3.93582894303019,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.1918108892403,3.86223801254437,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.1202719319269,3.62169846865359,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.0558389970573,2.95841563213128,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.0703184757947,2.65807781070687,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.3083685127754,1.68819350361636,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.399767210591,1.54531328344019,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.6309270633411,1.11328064100134,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
92.9448624887636,0.729521054865046,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.034885645792,0.595879721665028,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.1591435075683,0.511737679481172,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.3445477818146,0.351820431478018,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.4199487645193,0.277260309230243,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.5295373910309,0.179138313232741,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.6994701257676,0.053923167192778,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.8371730688081,-0.0427883214638882,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
93.9882039141721,-0.165129155024033,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.1271682427885,-0.27078450207425,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.1685537617768,-0.391230800211559,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.2402620631993,-0.531350486894723,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.303662490651,-0.634820615751849,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.5366072590398,-1.05424072126743,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.6982075499844,-1.24562779150934,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.7290602890288,-1.30012745439467,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.7607408462688,-1.39886672322321,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
94.9778196311949,-1.82223503822114,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.1455172524019,-2.03740435691762,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.2147791376751,-2.1574212474018,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.4406757171582,-2.4164612443958,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.4989912893346,-2.48583671832482,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.5286210080523,-2.53834375389583,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.5537011182837,-2.59069089487866,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.5847405892279,-2.64400061221316,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.634136306553,-2.73797235796393,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.7862569251376,-3.04206863271698,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
95.836799305092,-3.11499409473628,1,1,"Andaman",24,"Western Indo-Pacific",5,"Tropical"
